run_id,backend,architecture,model_key,display_name,step,seconds,tflops_per_device,tokens_per_device,total_weights,loss,lm_loss,perplexity,moe_lb_loss
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,1,1.183,0.16,27.047,32.0,246.511,246.511,inf,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,2,11.094,0.017,2.884,32.0,235.771,235.771,inf,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,3,12.141,0.016,2.636,32.0,199.885,199.885,inf,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,4,11.348,0.017,2.82,32.0,130.929,130.929,inf,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,5,11.338,0.017,2.822,32.0,86.62,86.62,4.1558398677159826e+37,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,6,11.192,0.017,2.859,32.0,52.275,52.275,5.043800998354034e+22,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,7,11.465,0.016,2.791,32.0,23.827,23.827,22275379200.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,8,11.588,0.016,2.761,32.0,6.769,6.769,870.346,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,9,11.528,0.016,2.776,32.0,0.597,0.597,1.817,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,10,11.604,0.016,2.758,32.0,0.022,0.022,1.022,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,11,11.864,0.016,2.697,32.0,0.041,0.041,1.042,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,12,11.166,0.017,2.866,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,13,12.194,0.015,2.624,32.0,0.1,0.1,1.105,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,14,11.419,0.017,2.802,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,15,11.214,0.017,2.853,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,16,11.502,0.016,2.782,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,17,11.585,0.016,2.762,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,18,11.067,0.017,2.891,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,19,11.763,0.016,2.72,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,20,11.062,0.017,2.893,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,21,12.081,0.016,2.649,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,22,11.577,0.016,2.764,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,23,11.458,0.016,2.793,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,24,11.625,0.016,2.753,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,25,11.646,0.016,2.748,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,26,11.727,0.016,2.729,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,27,12.684,0.015,2.523,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,28,16.129,0.012,1.984,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,29,14.804,0.013,2.162,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,30,15.713,0.012,2.037,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,31,12.413,0.015,2.578,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,32,11.355,0.017,2.818,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,33,11.305,0.017,2.831,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,34,11.918,0.016,2.685,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,35,11.767,0.016,2.719,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,36,11.48,0.016,2.787,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,37,11.142,0.017,2.872,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,38,12.026,0.016,2.661,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,39,11.521,0.016,2.777,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,40,11.462,0.016,2.792,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,41,11.757,0.016,2.722,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,42,11.38,0.017,2.812,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,43,11.78,0.016,2.717,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,44,12.04,0.016,2.658,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,45,11.715,0.016,2.732,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,46,11.726,0.016,2.729,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,47,11.702,0.016,2.734,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,48,11.432,0.017,2.799,32.0,0.0,0.0,1.0,
dense_qwen_scaled_1b_cpu,cpu,dense,qwen3_scaled_1b,Qwen3 scaled approximately 1B,49,11.801,0.016,2.712,32.0,0.0,0.0,1.0,
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,0,10.465,0.004,3.058,32.0,11.927,11.927,151333.078,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,1,0.806,0.055,39.714,32.0,11.927,11.927,151333.078,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,2,3.997,0.011,8.006,32.0,11.875,11.875,143627.312,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,3,4.949,0.009,6.466,32.0,11.66,11.66,115823.797,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,4,4.652,0.01,6.878,32.0,11.03,11.03,61682.148,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,5,4.681,0.009,6.836,32.0,10.275,10.275,29000.0,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,6,4.689,0.009,6.825,32.0,9.527,9.527,13730.779,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,7,4.385,0.01,7.297,32.0,8.84,8.84,6903.189,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,8,4.871,0.009,6.569,32.0,8.198,8.198,3634.487,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,9,4.669,0.01,6.854,32.0,7.578,7.578,1954.863,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,10,4.704,0.009,6.803,32.0,6.986,6.986,1081.723,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,11,4.616,0.01,6.932,32.0,6.407,6.407,605.785,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,12,4.666,0.01,6.858,32.0,5.845,5.845,345.625,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,13,4.591,0.01,6.97,32.0,5.303,5.303,200.916,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,14,4.661,0.01,6.866,32.0,4.784,4.784,119.584,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,15,4.599,0.01,6.959,32.0,4.29,4.29,72.977,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,16,4.819,0.009,6.64,32.0,3.822,3.822,45.706,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,17,4.613,0.01,6.937,32.0,3.376,3.376,29.259,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,18,4.63,0.01,6.912,32.0,2.965,2.965,19.399,0.0
moe_deepseek_under_1b_cpu,cpu,moe,deepseek_moe_under_1b,DeepSeek MoE scaled under 1B,19,4.723,0.009,6.776,32.0,2.588,2.588,13.308,0.0
